run_ID,Time,CH4_aq,H2_aq,HCO3,HS,SO4,pH,Temp,CH4_g,CO2_g,H2_g,H2S_g,Biomass_MET,Biomass_SRB,Rxn_rate_MET,Rxn_rate_SRB
1,0,7.91E-07,37.10107176,1.9813,2.81E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.62E-10,1.00E-08,1.00E-08,2.88E-22,4.22E-22
1,0.5,7.91E-07,37.10107176,1.9813,2.81E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.62E-10,1.00E-08,1.00E-08,2.88E-22,4.23E-22
1,1,7.91E-07,37.10107176,1.9813,2.81E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.62E-10,1.00E-08,1.01E-08,2.88E-22,4.25E-22
1,1.5,7.91E-07,37.10107176,1.9813,2.81E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.62E-10,1.00E-08,1.01E-08,2.88E-22,4.26E-22
1,2,7.91E-07,37.10107176,1.9813,2.81E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.62E-10,1.00E-08,1.01E-08,2.89E-22,4.28E-22
1,2.5,7.91E-07,37.10107176,1.9813,2.82E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.63E-10,1.00E-08,1.02E-08,2.89E-22,4.29E-22
1,3,7.91E-07,37.10107176,1.9813,2.82E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.63E-10,1.00E-08,1.02E-08,2.89E-22,4.30E-22
1,3.5,7.91E-07,37.10107176,1.9813,2.82E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.63E-10,1.00E-08,1.02E-08,2.89E-22,4.32E-22
1,4,7.91E-07,37.10107176,1.9813,2.82E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.63E-10,1.00E-08,1.03E-08,2.89E-22,4.33E-22
1,4.5,7.91E-07,37.10107176,1.9813,2.82E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.63E-10,1.01E-08,1.03E-08,2.89E-22,4.35E-22
1,5,7.91E-07,37.10107176,1.9813,2.82E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.63E-10,1.01E-08,1.03E-08,2.90E-22,4.36E-22
1,5.5,7.91E-07,37.10107176,1.9813,2.82E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.63E-10,1.01E-08,1.04E-08,2.90E-22,4.38E-22
1,6,7.91E-07,37.10107176,1.9813,2.82E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.63E-10,1.01E-08,1.04E-08,2.90E-22,4.39E-22
1,6.5,7.91E-07,37.10107176,1.9813,2.82E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.63E-10,1.01E-08,1.04E-08,2.90E-22,4.41E-22
1,7,7.91E-07,37.10107176,1.9813,2.82E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.63E-10,1.01E-08,1.05E-08,2.90E-22,4.42E-22
1,7.5,7.91E-07,37.10107176,1.9813,2.82E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.63E-10,1.01E-08,1.05E-08,2.90E-22,4.44E-22
1,8,7.91E-07,37.10107176,1.9813,2.82E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.63E-10,1.01E-08,1.05E-08,2.91E-22,4.45E-22
1,8.5,7.91E-07,37.10107176,1.9813,2.82E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.63E-10,1.01E-08,1.06E-08,2.91E-22,4.47E-22
1,9,7.91E-07,37.10107176,1.9813,2.82E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.63E-10,1.01E-08,1.06E-08,2.91E-22,4.48E-22
1,9.5,7.91E-07,37.10107176,1.9813,2.82E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.63E-10,1.01E-08,1.07E-08,2.91E-22,4.50E-22
1,10,7.91E-07,37.10107176,1.9813,2.82E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.63E-10,1.01E-08,1.07E-08,2.91E-22,4.51E-22
1,10.5,7.91E-07,37.10107176,1.9813,2.82E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.63E-10,1.01E-08,1.07E-08,2.91E-22,4.53E-22
1,11,7.91E-07,37.10107176,1.9813,2.83E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.64E-10,1.01E-08,1.08E-08,2.92E-22,4.54E-22
1,11.5,7.91E-07,37.10107176,1.9813,2.83E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.64E-10,1.01E-08,1.08E-08,2.92E-22,4.56E-22
1,12,7.91E-07,37.10107176,1.9813,2.83E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.64E-10,1.01E-08,1.08E-08,2.92E-22,4.57E-22
1,12.5,7.91E-07,37.10107176,1.9813,2.83E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.64E-10,1.01E-08,1.09E-08,2.92E-22,4.59E-22
1,13,7.91E-07,37.10107176,1.9813,2.83E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.64E-10,1.01E-08,1.09E-08,2.92E-22,4.60E-22
1,13.5,7.91E-07,37.10107176,1.9813,2.83E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.64E-10,1.02E-08,1.09E-08,2.92E-22,4.62E-22
1,14,7.91E-07,37.10107176,1.9813,2.83E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.64E-10,1.02E-08,1.10E-08,2.93E-22,4.63E-22
1,14.5,7.91E-07,37.10107176,1.9813,2.83E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.64E-10,1.02E-08,1.10E-08,2.93E-22,4.65E-22
1,15,7.91E-07,37.10107176,1.9813,2.83E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.64E-10,1.02E-08,1.11E-08,2.93E-22,4.66E-22
1,15.5,7.91E-07,37.10107176,1.9813,2.83E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.64E-10,1.02E-08,1.11E-08,2.93E-22,4.68E-22
1,16,7.91E-07,37.10107176,1.9813,2.83E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.64E-10,1.02E-08,1.11E-08,2.93E-22,4.69E-22
1,16.5,7.91E-07,37.10107176,1.9813,2.83E-08,7.2608034,6.1009,28.2,1.00E-06,0.0243,91.000004,2.64E-10,1.02E-08,1.12E-08,2.93E-22,4.71E-22
